あおい
青い,blue
あかい
赤い,red
あかい
赤い,Red
あかるい
明るい,bright; cheerful
あたたかい
暖かい,warm; mild
あたらしい,
新しい,new
あつい,
暑い,hot; warm
あつい,
熱い,hot (thing)
あつい,
厚い,kind; warm(hearted); thick; deep
あぶない,
危ない,dangerous; critical; watch out!
いい/よい,good
いそがしい,
忙しい,busy; irritated
いたい,
痛い,painful
うすい,
薄い,thin; weak
うるさい,noisy; loud; annoying
おいしい,delicious; tasty
おおい,
多い,many
おおきい,
大きい,big
おそい,
遅い,late; slow
おもい,
重い,heavy
おもしろい,interesting; amusing
からい,
辛い,spicy; salty
かるい,
軽い,light; non-serious; minor
かわいい,cute; charming
きいろい,
黄色い,yellow
きたない,
汚い,dirty; messy
くらい,
暗い,dark; gloomy
くろい,
黒い,black
さむい,
寒い,cold (e.g. weather)
しろい,
白い,white
すくない,
少ない,a few; scarce
すずしい,
涼しい,cool; refreshing
せまい,
狭い,narrow; confined; small
たかい,
高い,tall; high
たかい,
高い,expensive
たのしい,
楽しい,enjoyable; fun
ちいさい,
小さい,small; little
つまらない,insignificant; boring
つめたい,
冷たい,cold (to the touch)
つよい,
強い,strong; powerful
とおい,
遠い,far; distant
ない,there isn't; doesn't have
ながい,
長い,long
ぬるい,
温い,lukewarm
はやい,
早い,early
はやい,
速い,quick; fast
ひくい,
低い,short; low
ひろい,
広い,spacious; wide
ふとい,
太い,fat; thick
ふるい,
古い,old (not person); aged; ancient
ほしい,
欲しい,want; in need of; desire
ほそい,
細い,thin; slender; fine
まずい,unappetising; unpleasant (taste)
まるい,
丸い/円い,round; circular
みじかい,
短い,short
むずかしい,
難しい,difficult
やさしい,
易しい,easy; plain; simple
やすい,
安い,cheap; inexpensive
よわい,
弱い,weak; feable
わかい,
若い,young
わるい,
悪い,bad; inferior
あまい,
甘い,generous; sweet
ちかい,
近い,near; close by; short
あと,
後,afterwards; since then; in the future
しごと,
仕事,work; occupation; employment
わたし,
私,i; myself
わたくし,
私,i; myself
さき,
先,the future; former; previous
けっこん（する）,
結婚,marriage
その,that
この,this
くもり,
曇り,cloudiness; cloudy weather
すぐ・に,immediately; instantly
どう,how; in what way
どうぞ,please; kindly; by all means
とても,very
なぜ,why
ほんとう,reality; truth
まだ,yet; still; besides
もっと,more; longer; farther
よく,frequently; often
よく,well; skillfully
また,again; and
ちょっと,a little; somewhat
